id,texto,region,taller,sexo
1,Me gusta estar con mi familia y mis amigos porque me hacen sentir bien,Buenos Aires,Taller A,F
2,Tengo miedo de que me roben cuando salgo a la calle,Córdoba,Taller B,M
3,Quiero estudiar para ser médica y ayudar a la gente de mi barrio,Santa Fe,Taller A,F
4,Me angustia no saber qué va a pasar con el trabajo de mi papá,Mendoza,Taller C,M
5,Me encanta el fútbol y juntarme con mis compañeros en la cancha,Buenos Aires,Taller B,M
6,A veces me siento muy sola y no tengo ganas de ir a la escuela,Córdoba,Taller A,F
7,Mi sueño es viajar y conocer otros países cuando termine el colegio,Santa Fe,Taller C,F
8,En mi casa hay peleas todo el tiempo y eso me pone nervioso,Mendoza,Taller A,M
9,Me gusta dibujar y escuchar música cuando estoy triste,Buenos Aires,Taller B,F
10,Tengo miedo de las drogas que venden cerca de mi barrio,Córdoba,Taller C,M
11,Quiero ser independiente y tener mi propio trabajo algún día,Santa Fe,Taller A,F
12,Mi mamá me apoya mucho y eso me da fuerza para seguir estudiando,Mendoza,Taller B,F
13,No me gusta cuando hay violencia en el barrio y no me dejan salir,Buenos Aires,Taller C,M
14,Me gustaría que haya más plazas y lugares para los jóvenes en el barrio,Córdoba,Taller A,F
15,A veces no tengo plata para comprar los útiles y eso me da vergüenza,Santa Fe,Taller B,M
16,Me encanta bailar y actuar en el teatro del colegio,Mendoza,Taller C,F
17,Mi abuelo me enseñó a trabajar la tierra y eso me gusta mucho,Buenos Aires,Taller A,M
18,Me preocupa el futuro porque no sé si voy a poder terminar la secundaria,Córdoba,Taller B,F
19,Quiero aprender inglés para tener más oportunidades de trabajo,Santa Fe,Taller C,M
20,Me da miedo quedarme sin casa porque mi papá perdió el trabajo,Mendoza,Taller A,F
21,Me gusta ir a la biblioteca y leer libros de historia,Buenos Aires,Taller B,M
22,Tengo muchos amigos con los que salgo los fines de semana,Córdoba,Taller C,F
23,Me angustia la violencia que veo en las noticias todos los días,Santa Fe,Taller A,M
24,Sueño con tener mi propio emprendimiento y no depender de nadie,Mendoza,Taller B,F
25,No me gusta que en el barrio no haya trabajo para los jóvenes,Buenos Aires,Taller C,M
26,Me gusta cocinar con mi mamá los domingos,Córdoba,Taller A,F
27,A veces me pegan en la escuela y no sé a quién contarle,Santa Fe,Taller B,M
28,Me encanta la música cumbia y bailar con mis amigas,Mendoza,Taller C,F
29,Quiero ser alguien en la vida y que mi familia esté orgullosa de mí,Buenos Aires,Taller A,M
30,Me preocupa que mis hermanos estén consumiendo drogas,Córdoba,Taller B,F
31,Lo que más me gusta es pasar tiempo con los amigos y compartir,Santa Fe,Taller C,M
32,Tengo miedo de reprobar la escuela y decepcionar a mis padres,Mendoza,Taller A,F
33,Me gustaría que hubiera más talleres de arte y deporte en el municipio,Buenos Aires,Taller B,M
34,Me siento feliz cuando ayudo a alguien y le saco una sonrisa,Córdoba,Taller C,F
35,Lo que no me gusta es cuando hay acoso en las redes sociales,Santa Fe,Taller A,M
36,Mi sueño es tener una familia propia y una casa bonita,Mendoza,Taller B,F
37,Me gusta la escuela pero a veces los profesores no nos escuchan,Buenos Aires,Taller C,M
38,Me da mucho miedo la situación económica de mi familia,Córdoba,Taller A,F
39,Quiero aprender a tocar la guitarra y formar una banda con mis amigos,Santa Fe,Taller B,M
40,Me siento orgullosa de mi identidad y de donde vengo,Mendoza,Taller C,F
41,No me gusta la violencia ni los que consumen porque hacen daño,Buenos Aires,Taller A,M
42,Me gusta estudiar y aprender cosas nuevas todos los días,Córdoba,Taller B,F
43,Tengo angustia cuando pienso que no voy a poder conseguir trabajo,Santa Fe,Taller C,M
44,Me encanta el básquet y entrenar con mi equipo,Mendoza,Taller A,F
45,Quiero que mi barrio sea más seguro y que haya menos violencia,Buenos Aires,Taller B,M
46,Me da tristeza cuando veo que mis amigos no pueden ir a la escuela,Córdoba,Taller C,F
47,Soy bueno en matemática y quiero estudiar ingeniería,Santa Fe,Taller A,M
48,Me preocupa mucho el cambio climático y el futuro del planeta,Mendoza,Taller B,F
49,Me gusta participar en las actividades del centro comunitario,Buenos Aires,Taller C,M
50,Lo que más quiero en la vida es que mi familia esté bien y unida,Córdoba,Taller A,F
